epoch train_loss_meter_epoch
1 0.8598723491578616
2 0.4724808281429547
3 0.34822929795046276
4 0.2865783244187658
5 0.250974016330902
6 0.20950191668046847
7 0.18974198207192364
8 0.15464355955693926
9 0.15060365170808376
10 0.14357369811579004
11 0.12864071430613358
12 0.1316443198870015
13 0.1147066288159933
14 0.1063011066378367
15 0.10149007334244421
16 0.09767223294248037
17 0.09488037322760634
18 0.09069047676975689
19 0.08741987163760602
20 0.08517818297823326
21 0.08232378954852969
22 0.08099822366334546
23 0.07416936494577094
24 0.07165839645234809
25 0.06992361418518651
26 0.06586494700223074
27 0.06433735116105112
28 0.06290046247286134
29 0.062095138872869195
30 0.06078971270367398
31 0.05827862163588004
32 0.057220037192348486
33 0.055444973625342876
34 0.054685837526559346
35 0.05408596946135368
36 0.053604293077966964
37 0.053048984769882165
38 0.0518953752967074
39 0.051275049554468
40 0.05056792230140666
41 0.049950441326778935
42 0.04954501894519836
43 0.04925026229766486
44 0.04897018995620478
45 0.04881733015384276
46 0.04883608249467151
47 0.04867017885874697
48 0.04848186162116655
49 0.04846186231040795
50 0.04854151465399645
51 0.048475159898049514
52 0.04839747426029076
53 0.04854220684905927
54 0.04841974995311999
55 0.04841661230230815
56 0.04838173914358283
57 0.04837660994401604
58 0.04835653927745174
